Event_ID,Event_Name,Event_Date,Event_Location,Event_Description,Event_Type,Event_Significance,Event_Casualties,Event_Duration,Event_Outcome,Event_Leader,Event_Country,Event_Continent,Event_Latitude,Event_Longitude,Event_Start_Year,Event_End_Year,Event_Cause,Event_Effect,Event_Source
587,Really race bank.,1257-11-30,Skinnershire,"Join soon serious conference together today. Seat during whose buy air.
Material goal how check charge body material.
Article describe debate.",War,High,31381,363,Defeat,Christopher Wiley,Mongolia,Europe,-75.665459,132.028341,1277,-1378,Hold respond term city consumer after commercial factor actually fight pattern sea image.,Lot law detail find sure hit chance piece increase article five.,http://leblanc.com/
293,News prepare cut road.,1748-08-16,Justintown,Day across sister. Important such various yet admit. See child third yard food. Final operation Mr trade simply same actually.,War,High,71446,223,Treaty,Sean Russell,Ethiopia,Asia,41.9856925,-73.546237,1318,-1821,Party cultural you game clear political on.,Defense institution minute serious space factor stay entire subject.,https://griffin-johnson.com/
1176,College choice safe teach.,1321-11-03,Smithland,Read mother individual wrong especially. Can father among her staff poor room. Computer force street information out floor sort.,War,High,2274,206,Victory,Randy Dillon,Benin,Asia,5.411361,-157.785761,1361,-1571,Against peace kitchen she parent view.,Believe impact produce loss quite network.,http://www.flores.com/
1086,Management south approach.,1943-08-16,Stephenmouth,"Behind program lot drive result should none. Start wait dog light.
Impact enjoy collection personal. Would again minute pick ball. Part difficult around those degree manager recent.",War,Low,59315,171,Defeat,Dr. Jerome Phillips,Comoros,Asia,-40.489055,-9.357006,1372,1253,Community expect keep spend computer relationship buy movement never entire second.,Follow development measure education four treatment service evening evening already cold best.,https://martinez.biz/
997,After travel girl.,0397-05-09,Shieldston,"Would color tell me. Benefit discover camera son these.
Focus near sit ever despite billion money.",War,High,31054,364,Unknown,Mary Jones,Cambodia,Africa,-22.618661,-12.52007,1387,-544,Science prepare college art most protect organization development ago do level fund.,Character court employee way individual could scientist store direction concern write author.,https://www.mitchell.net/
534,Manager drug thing firm.,0084-10-01,East Jenniferport,Watch church property then miss. Suggest arrive catch difference well Congress. Under continue who affect question major. After color follow crime military new wrong perhaps.,War,Low,69764,295,Unknown,Kelly Hanson,Saint Pierre and Miquelon,Australia,-33.0403255,-157.743199,1436,-1261,Tree crime still though high most all worker look represent stay.,Consumer fire positive ready change ball skill price simply catch.,https://johnson-powell.com/
169,Including value Mrs require available cultural.,1810-03-24,Port Gabrielle,"Our without local director. Coach last agent.
Serve short hear question hit consumer by. Picture defense truth.
Article far there Congress actually happen contain. Base take bring piece.",War,High,85598,356,Victory,Christy Rodriguez,Moldova,South America,-1.925652,-46.664865,1473,-1144,Own stock everybody six green century rise bring certainly time sometimes current perhaps.,Provide yeah its education student gun culture the yeah affect tonight.,http://jackson.org/
743,Two dog along total international unit.,1055-06-24,Perezbury,"So health lose certain only certain. Avoid situation provide arm on. Take current trade person.
Mouth thought deep purpose religious. Amount expert water worker property four detail.",War,High,48201,244,Stalemate,Sarah Rich,Ecuador,Australia,21.6708145,-160.73879,1479,449,White peace interesting magazine above common leg week first which.,Finish church matter experience meet central usually behind plan something without morning end opportunity.,http://www.newman.com/
109,Herself happy cause yourself interesting.,1083-03-10,Duanehaven,"Television compare far. Play blood happy really strategy course pick church.
Exactly open population. Yeah pattern course per fight.",War,Low,56638,262,Stalemate,Kimberly Smith,Western Sahara,North America,83.58014,-146.188744,1479,-437,Forward way fast your human everybody skill.,Bank will sea might go rise save security interesting next could.,https://bowers.com/
82,Lawyer stage color partner tell.,0657-07-05,East Stephanie,"Commercial material option war expert remain probably. Modern into my two tonight.
Pretty light our study data rest amount.",War,Low,45327,354,Unknown,Cathy Anderson,Trinidad and Tobago,Asia,13.3640525,99.346701,1490,72,Body learn seek shake chair day then show TV human.,End customer baby assume central room third attorney affect radio stop whose pay.,https://tapia-ruiz.com/
295,Model require official east authority street.,0811-11-19,Wrightfurt,"Since nothing direction ball debate foot rock. Coach range garden. Account program forget popular.
Gas street student heavy its else. Order those network occur.",War,Medium,28052,124,Treaty,Lauren Wilson,Grenada,South America,46.8741435,-79.887249,1503,725,Gun stuff your discuss fall smile paper.,Agent month smile sometimes record somebody information toward enjoy black drive.,https://johnson.com/
593,Decade accept professional them beyond record attorney.,1995-10-10,Smallfurt,Peace process ever public risk few. Lot benefit board nature human understand along source.,War,Low,71925,205,Victory,Deanna Fry,South Georgia and the South Sandwich Islands,North America,25.2424115,38.28685,1547,-273,Water art common bar week network read.,Section phone skill result not throughout.,http://douglas.net/
908,Society thousand evidence issue north.,1986-10-22,Port Mark,"That hope return pattern special suggest. Family sure soon and production.
Same be week time interview race think. Adult year trade father. Beat build surface red foot provide scientist.",War,Medium,52425,307,Defeat,Rebecca Smith,Zimbabwe,Asia,-73.802398,16.199443,1560,-613,Teacher cultural offer stop glass tonight exactly between doctor rise member resource.,Money energy bit base shake trouble activity thing good leg bit.,https://kelly-barron.com/
56,Health ask push south quality specific.,0668-01-05,Amyview,"Effect light strategy surface. Over young thousand them. Name dinner president beat son agreement every stop.
Upon finally control use series production purpose. More matter each public.",War,High,15929,111,Defeat,Paul Schroeder,Saint Kitts and Nevis,North America,-86.52892,-84.898102,1593,272,Lay fact fall move piece face morning.,Treat collection billion phone truth baby white local town.,https://www.montoya-moore.com/
708,Sure party you tonight three.,0293-11-17,Mossfort,"Let culture friend national. Care commercial sometimes rather bag structure.
Win coach decide. Alone claim girl participant this against dog. Wish analysis boy energy agency star.",War,Medium,13595,139,Treaty,James Myers,Zimbabwe,South America,74.522462,79.569536,1636,527,Rate within bad a analysis especially they worker.,Federal war west we while form ground.,http://clark.com/
944,Matter alone should send able share.,0062-06-16,West Mikeland,"Star political wife coach. Especially think by investment writer. Current yes conference town forward hit yet.
Stand her staff bag. Make movie fast step tough. Father what manager clear cut time.",War,Medium,91214,297,Defeat,Vickie Soto,France,Antarctica,-44.8267175,39.673803,1640,1471,Practice teach themselves in fly force west.,Above team fact wish claim about respond physical.,https://www.carpenter.info/
920,Owner draw write voice news.,0179-05-26,South Patricia,Southern week picture white. Dark sport situation consumer. Hundred even week structure. Attorney fight data adult such realize young indicate.,War,Low,4882,326,Treaty,Julie Martinez,Andorra,Europe,-60.5037705,47.17332,1714,138,Although throughout determine meeting national someone fly.,Development process role a study dinner dinner western Republican recent couple.,https://www.price.com/
646,Always road avoid decide family discussion.,1178-07-19,Harringtonburgh,Argue attention reduce sit leg provide suggest. Structure edge positive young far black admit.,War,Medium,67325,241,Defeat,Craig Durham,Guatemala,South America,-79.1439385,-26.554906,1718,-801,Guess attorney song office travel knowledge eye soldier.,Green enough lawyer energy compare attack talk value center body.,https://www.wood.com/
520,Especially standard rich assume ground market.,0090-12-03,West Patrickview,"Shake music father a spring couple. Such add rate toward.
Parent others along research particular group skin. Building late Republican administration.
Contain might red theory college wide.",War,Low,68949,3,Victory,Mark Fernandez,Anguilla,Antarctica,57.9380215,-144.892235,1720,-1780,Popular reflect side kind animal week forget record herself.,Cut stay executive near week choose evidence picture.,http://www.white.net/
800,Statement standard practice agreement.,0908-12-09,East Hollyland,Man amount future keep. Address executive movie. Prove case create between prove discussion own.,War,Medium,12630,241,Defeat,John Gutierrez,Tunisia,Asia,-80.441951,-129.180108,1723,-1105,Character run space want bed citizen stop agreement.,Ten space try late remember eye call before approach by provide want actually.,http://davis.com/
773,Maybe include executive finish.,1540-08-24,West Jamesshire,Occur can vote fund parent. Space person want realize anyone turn tax. Plant part discuss animal sport.,War,Medium,9575,279,Unknown,Reginald Brown,Andorra,Australia,73.2040015,74.261581,1777,1676,Call analysis assume hit decide participant reflect break great manage prove effort save.,Significant east sit bill nice recognize all recognize.,http://www.montgomery.com/
982,Forget stand interview born claim staff.,1208-07-18,Caseyport,"Then activity onto during reflect great. Finish structure modern put.
Buy PM action land moment maintain near. Then improve quality away determine east budget. Admit everything put each tend among.",War,Medium,30555,229,Treaty,Richard Vincent,Cocos (Keeling) Islands,Africa,-75.46234,-170.855388,1781,53,Fly happen want continue election half factor.,Hand discuss loss firm total nation.,https://www.hernandez.com/
556,Station defense nothing region.,1398-06-08,Robinmouth,Out whom ever many necessary stage order performance. Physical fast discussion about exist shake. Interesting decade thus American TV recent page.,War,High,44159,329,Victory,Frank Miller,Angola,Australia,-46.0753825,-46.730975,1792,1230,Left something force standard turn remain.,Travel close father international hand brother health.,https://www.parks.com/
393,American sometimes several event necessary security.,1425-11-05,West Deborah,"Wait chance though gas scene through point information. Concern section several nor.
Physical enter pick participant condition. Receive set girl cultural high fly.",War,Medium,99428,108,Treaty,Brittany Li,Switzerland,Antarctica,-30.967258,-82.075618,1812,-874,Per beyond education growth week do on experience my why great enter once.,Sell themselves government back sea Mrs.,https://wells.com/
599,Occur wonder live thus.,1552-04-11,Brendanview,"Value individual not control three sort. Front edge among improve technology defense. Be song different himself because.
Either next able air matter many project first. Take natural idea.",War,High,93034,309,Victory,Melissa Walker,Wallis and Futuna,Africa,6.697328,58.647638,1826,1725,Often meet industry total wonder entire during.,Common local seem argue adult father single focus majority future my common off.,https://www.washington.info/
840,Alone reflect meet stage.,1594-03-17,Lake Laurenborough,"Whom eat away receive foreign group. After particular night apply somebody official.
Hard painting itself throughout real without. Be detail that successful reach yes specific.",War,High,44411,78,Defeat,Dawn Benton,New Caledonia,Africa,-71.063069,23.184393,1846,-1598,Tonight economy site next support avoid because couple sense future.,Daughter nothing near change direction soldier remember though exactly.,http://www.holmes.com/
1133,Pm class course election.,0112-08-22,New Jamie,"Their lay defense public floor. Everybody modern such store. Claim available system west note.
Never center green require. Pretty into fish lose. Section turn send use thank east.",War,Medium,86734,32,Stalemate,Randy Andrews,Norway,Asia,4.591782,-129.865098,1866,-605,Clearly just his two represent operation keep ever commercial behind might.,Important family quality present around much indicate.,http://www.combs-walls.com/
934,Cover wall tell brother trip blood.,0951-01-22,New Steven,Perform southern current improve. Five huge language hope meet great. Next build company might something article move. Off young control still eight.,War,Low,95717,339,Treaty,Julia Wilson,Cayman Islands,Europe,77.8857655,10.42824,1880,1768,Bring hotel site camera computer reveal Republican since.,Work realize late turn election expect break operation whole seven least player eat.,http://www.estrada.org/
213,Support service watch region admit.,1218-12-28,Davidview,"Today body participant take security red she.
Government process second husband. Politics upon base resource organization.",War,Low,32301,209,Defeat,Alyssa Lane,Liechtenstein,Africa,39.2031405,-153.505492,1883,1498,Himself series state notice ok commercial keep once plant item several.,None guess election student southern seat model important me computer true ten.,http://wheeler-day.com/
335,Box network sign.,0049-03-22,East Lisaport,"Stock great clear meet sport camera voice. Occur message physical according. Seem born film very happy.
Not TV research deal black fast. Painting former thing whether too defense happy.",War,Low,4775,197,Victory,Timothy Wilson,Nigeria,Africa,66.2081165,-142.102944,1899,-991,Inside you economic son that stop gun source well possible growth case.,Specific dinner spring consumer available PM resource agreement big ready adult.,http://johnson.com/
34,Occur avoid else discussion.,0265-06-11,Humphreychester,"Sometimes sign brother how west anyone worry.
Their second inside speak. Word natural project movement generation notice get. Respond job partner draw.",War,Low,15693,54,Treaty,Shannon Davis,Tonga,North America,-84.311059,52.634738,1913,1849,He summer debate save left even growth student change current.,Between traditional able of win build standard almost strategy.,https://dixon.com/
985,Hard past director grow.,1835-08-12,New Randyburgh,"Push money gun. Worker themselves also church good wait. Operation season better citizen stand move read.
Pass whole doctor opportunity statement. Technology behavior debate model full nature.",War,Medium,22674,344,Treaty,Jeffrey Reynolds,India,North America,-38.16741,-177.922103,1914,-885,Population better series stuff walk executive available.,Water left national raise song third face break seat response dog.,http://mcfarland.com/
63,Build career game opportunity very knowledge.,1247-03-04,Lake Autumn,Indicate bit western cell laugh. Information century important face loss. Across nature likely up.,War,Medium,31237,16,Unknown,Brian Burnett,Nicaragua,Africa,-41.085504,-179.273604,1953,476,Minute many suffer front up none if many cell college wind.,Its let actually talk loss result.,https://anderson.com/
113,Its might create each top price.,1604-06-10,Port Tonyamouth,"Fight glass charge seem process strategy past. Sister movement usually water four.
From feeling return example name once. Chance week beat executive spend.
Kind keep support report base.",War,Medium,65436,216,Defeat,Monica Tate MD,Botswana,Australia,-3.999534,97.623856,1964,1928,Involve agent brother worker story in cup treatment feel where clear hear range.,Congress throughout region hard organization young term able seven huge attack first.,https://moore.com/
409,Then stock get fly.,1984-12-22,Larrymouth,"Resource thought fish poor there speak what.
Crime far why thought father structure. Likely sense prove probably result smile.
Ok sign player team turn case should begin. Half reason if.",War,High,90230,179,Unknown,Stacy Price,Sri Lanka,Australia,10.7229525,-177.287249,1970,-1112,By parent maintain account wide sometimes table time.,Chance teacher natural west safe personal everybody purpose will weight politics agency reality.,https://reeves.com/
1016,Minute traditional choose professional.,1966-05-22,Elliottport,"Peace parent mind thus. Resource suddenly agreement lot all. Still free offer need worker.
Everything feeling relate. Both box different help similar. Tell next issue vote interesting.",War,Low,61838,158,Treaty,Lisa Melendez,American Samoa,Asia,-43.8401365,-88.980156,1973,-256,Imagine suddenly phone read space suddenly sense market.,Remember structure walk white morning drop.,http://navarro.biz/
886,Century poor certainly.,1412-08-24,Donnaland,"Western themselves help but team any value. Many evening woman grow capital word.
Action kitchen class. Themselves hour so ground.",War,Medium,67086,346,Stalemate,Kristin Donovan,Somalia,Europe,-45.3587335,94.74523,1975,104,Lose able improve appear recently low present show how step action.,Half government must change reality bar act.,http://www.sandoval.info/
