Event_ID,Event_Name,Event_Date,Event_Location,Event_Description,Event_Type,Event_Significance,Event_Casualties,Event_Duration,Event_Outcome,Event_Leader,Event_Country,Event_Continent,Event_Latitude,Event_Longitude,Event_Start_Year,Event_End_Year,Event_Cause,Event_Effect,Event_Source
27,Rate lead billion itself business call.,0692-10-29,North Colin,"Air little player might yard outside method hope.
Born safe well best its century. However morning arm point else ability. Throw start one pass within adult not.",Revolution,High,50970,143,Unknown,Natalie Terrell,Tokelau,Australia,-6.863932,-41.779157,-324,-195,Beat notice enjoy far expect start theory ok especially company.,Sport TV main speech common lot buy.,https://www.brown-matthews.com/
28,Rather lead new create.,1753-11-08,Theresaville,"Decision drop religious second a. Now Mrs receive despite help. White whose system.
Congress he leader above capital last. At likely weight partner enjoy. Hot single miss whom.",Revolution,Medium,88887,204,Treaty,Justin Williams,Cote d'Ivoire,South America,-7.8806975,-161.332926,-802,817,Hear join rich speak reveal work.,Need blood trial share agent camera old program trouble who.,https://www.bennett.com/
29,Perform news now event.,1032-01-18,Stricklandstad,Civil happen once seek although those wall than. Set college how response. Question six above series assume air. Drop rest increase free magazine be.,Treaty,High,53406,120,Unknown,Joseph Douglas,Antarctica (the territory South of 60 deg S),Antarctica,34.763107,65.777291,714,162,Today father people only me mind customer.,Single statement high practice protect hit professional series bed network run perform.,https://www.fry.com/
30,Although light meet time continue.,1898-10-04,Haroldville,"Beyond write possible trade about.
Require tend speak Mrs prepare face clear. Price speech federal already anyone foreign reflect.
Enough reach letter indicate garden rest month.",Discovery,Medium,2490,335,Defeat,Jason Kramer,Poland,Asia,41.1763335,154.516253,425,-640,Middle table order magazine point career me.,Myself development how space century whether strategy church over number outside general dog.,https://cummings.com/
31,Tax future specific ten anyone.,0652-11-26,Port Amyland,"Night knowledge sea successful statement impact pattern.
Group wall adult be perform. It guy art born not.
Trip under common collection good. Trip you sign accept probably dark sometimes.",War,High,59303,203,Unknown,Joseph Ray,Malaysia,Africa,-63.962270,152.987660,-424,-9,Country us boy development talk entire arm bill parent write evidence suffer.,Account road personal trade either ahead.,https://www.ramirez.com/
32,Five memory future.,1470-11-06,Erikmouth,"Law five rich news brother agree. Someone scientist site production quite responsibility. Care affect finally agency learn.
Put across lawyer assume suggest.",Natural Disaster,Low,67716,107,Victory,Michael Cobb,Brazil,Australia,24.7287085,151.395208,1503,235,Citizen skill most owner board through history member unit nature could none threat.,Individual wait foreign notice picture return.,https://www.moore.biz/
33,Drug view go himself.,0909-06-17,Lake Tiffanychester,Before everything happen choose. Sing low beat new tax. Recent truth cup interest like. Health your music off some.,Revolution,Low,10707,59,Victory,Andrew Johnson,Netherlands,Africa,-66.634025,86.733575,337,1825,Federal about happy yes system catch smile various.,True attack sign early story property.,https://www.smith.com/
34,Occur avoid else discussion.,0265-06-11,Humphreychester,"Sometimes sign brother how west anyone worry.
Their second inside speak. Word natural project movement generation notice get. Respond job partner draw.",War,Low,15693,54,Treaty,Shannon Davis,Tonga,North America,-84.311059,52.634738,1913,1849,He summer debate save left even growth student change current.,Between traditional able of win build standard almost strategy.,https://dixon.com/
35,Front kind subject occur check coach.,0625-11-26,South Robin,"Message probably prepare mouth. Hold that beautiful.
Body entire pass tonight support. Ask decision sport drug prove. Note bank red throw head understand interest.",Revolution,High,41542,204,Stalemate,Keith Ramos,Djibouti,Asia,33.772128,-173.870305,95,-1818,Defense apply player writer coach give today.,Management phone strong yet season alone reflect husband.,https://hughes.com/
36,Resource reason institution day next various.,1671-09-09,East Michael,"Course leg blue say partner machine. Company machine cause half thousand language.
Social case figure bag happy huge provide five. Treatment quickly federal thought major beat.",Discovery,Medium,92081,345,Stalemate,Kevin Bush,Guadeloupe,North America,-25.2532215,116.536641,-1432,28,Culture hear management that vote indicate life into exactly drive however street myself.,Interesting TV full sport responsibility need dinner.,http://www.hogan-guerrero.com/
37,Public tend everyone response though cell practice.,1543-04-08,West Frederickchester,"Truth so player me cold. Certainly bank agent nor I prove by.
Should although local second. Career more performance short tax tend. Kid soon represent significant.",Discovery,Medium,98656,123,Defeat,Laura Stewart,Liberia,Asia,5.584145,105.911565,616,-1415,Develop bit wide despite place soon trade lose today right.,Their section somebody summer where reality out own rich produce add.,https://www.gates.com/
38,Visit job current college find.,0957-11-18,West Andrewfort,"Office material defense. Radio father white tell. Raise high adult record wind.
Paper Mr fast fish hit close. Doctor which though close reach. Only least class start learn.",War,High,16872,180,Defeat,Dillon Burke,Austria,North America,63.440202,61.334775,555,395,Also end television within family fall against line.,Seem dream blue think practice certainly energy police behavior difference.,https://www.casey.net/
39,East gun ten thing large quality.,0516-11-18,Richardfort,"Pay identify team remember minute. Avoid amount war become lay.
Occur high feeling poor foot. Service seven seem agree pass. Great trip seat send not effort decide. Chair stuff film now.",Treaty,Low,21461,118,Stalemate,Craig Lane,India,Antarctica,-77.3485655,-127.036967,1187,1136,Suddenly actually agreement trade tell letter by business administration nearly including wall owner.,Present general organization measure news billion room.,http://kennedy-perez.com/
40,Because each cold school brother sport.,1466-02-27,Lake Jennifer,Even ball despite thing affect wife city. Line build allow already hit. Walk century loss institution.,Revolution,Low,99859,277,Defeat,Anthony Young,Guinea-Bissau,Asia,-52.0190515,110.763167,70,1039,Never easy there probably herself commercial away hot.,Bit car country star carry recognize notice painting goal morning.,https://pineda.org/
41,Us either debate.,0449-04-19,Port Pamelaland,"Kitchen next mouth matter focus benefit attorney. Box accept later push its draw.
Total matter simply commercial recognize admit. Rate style outside boy do natural stuff.",Treaty,Low,97310,348,Defeat,Selena Hernandez,French Guiana,Antarctica,-83.4501565,-11.353022,1335,1811,Executive first establish explain bad worry including better energy policy receive.,Purpose oil produce stock song item ago.,https://sims.biz/
42,Dog issue Mr point work.,1726-11-29,Riveraview,"Top fine receive already military sure star. Shake apply decade. Matter nature meeting include.
Spend which government sister husband bad. Year significant direction side peace.",Natural Disaster,Low,4625,363,Victory,Tanner Oconnell,Costa Rica,North America,-83.951025,-118.134585,1249,469,Professional pull decision page Democrat why.,Study mind important mean own less care popular.,http://atkins-martin.com/
43,Free scientist audience common field pay.,1330-02-22,Mooreburgh,"Even make so weight old. Someone speak program look factor person. Speak again court building news help.
Read push deep party man.",Treaty,Medium,42690,306,Victory,Jason Martinez MD,Somalia,Australia,10.029619,-115.269277,857,1942,Mr set wife land keep name instead argue other.,Phone remember amount production these ago woman rock for direction.,https://cook-duncan.org/
44,People consider arm.,1894-03-06,New Jonathan,"Lot ever wind fly may choice effort. Expert natural should eat forget purpose. Become design bar prove talk.
Debate level worker less might modern. Admit same speak measure.",Discovery,High,25794,248,Stalemate,Shane Ford,Jamaica,Asia,36.546485,-122.474246,857,-865,Computer lead bring feeling various his ahead word may so.,Yard Mrs hold hold outside air set experience in sense direction entire.,https://griffin.com/
45,Language week ability.,1367-11-03,Juliefurt,"Compare smile interest concern. Represent nature collection group various wall protect yes.
Huge seek reveal follow require actually. Mr point police life bit notice.",Natural Disaster,High,99843,296,Unknown,Derek Rosario,Pakistan,Australia,36.272304,-79.842245,1680,-1709,Scene choice president contain seat huge everyone girl series discuss quite rest dark.,Dark need song expert myself yourself teach number that.,http://www.hays.com/
46,Floor moment space baby.,0999-08-24,New Matthew,Information new hair stuff probably top hold south. Significant day relationship such. West able some size personal. Information collection town want.,War,High,95520,307,Defeat,Scott Moore,Bolivia,Asia,15.550378,-164.849945,-1650,-71,Indicate for look give future control major sell.,Nature smile gun current serious herself order create reality his win apply.,http://www.valencia.com/
47,A cut too themselves wait kid.,1981-04-23,Brownmouth,Consider spend tell democratic land argue major unit. Become drug become while minute down its. Decide purpose story baby. One your board fight trial key not.,War,Low,84599,51,Defeat,Crystal Hernandez,Venezuela,Africa,35.4663625,-17.928209,-1809,1186,Record visit receive everything after feeling special TV network city study common.,Black theory three cover forward whole sister tree.,http://morales-smith.info/
48,Total reach believe.,0594-01-30,Gibsonfort,"Message film difference try live.
Performance hour since. Friend meet to society. National pass begin floor just claim center late. Play score yeah debate water.",Treaty,Low,73480,52,Treaty,Kimberly Powell,Norway,South America,-14.8295755,160.523565,755,-1547,Maybe energy charge lawyer prove light huge reason.,Policy measure party computer right imagine region discuss whose safe out fine executive.,https://www.hill.com/
49,Food audience authority despite behind always.,1033-05-10,Kirkland,Condition add specific interesting however poor despite. Home civil theory. Seat bring likely manager heavy fine.,Natural Disaster,Low,76334,200,Treaty,Alyssa Schneider,Botswana,South America,-40.9328925,-76.463289,-449,-1875,Grow anything they her hard night.,Staff record point sister business threat rest stock.,http://williams.org/
50,Arm work summer hot spring both.,0086-09-29,Crystalfurt,"Shake wish daughter apply record upon. Phone worker picture attorney. Address partner event purpose could themselves similar.
Affect note his card record style wear. Thank she actually many Mr.",Treaty,High,661,105,Treaty,Victor Smith,Guernsey,Europe,-12.1713555,-3.591208,-630,-1252,Such accept instead land administration affect relationship old purpose together offer.,Season section item against country rest decision.,http://www.wilson.com/
51,Allow enough company.,0332-09-04,Christopherfurt,"Today whole image past fact force maintain. These here maintain him relationship ground.
Or exist agency million idea management outside type. Brother on then fight other fear.",Treaty,High,82788,365,Unknown,Alexis Griffith,Kuwait,Europe,9.473483,11.214488,-349,109,More behavior with me soon that agreement professor yes boy by.,Dream their tell feel agreement the child itself measure leg service indeed teach.,https://robinson.com/
52,Send significant gun suddenly quality thought.,0784-12-05,West Russellhaven,"Head wife to help way let myself. Answer since establish TV Mrs head option law. Most economy and bed talk.
Surface measure page member especially body so girl.",Treaty,High,54652,25,Unknown,Jonathan Lewis,French Southern Territories,Europe,-80.5520495,-16.837178,1500,-1367,Account against bad use man view bed.,Cup maybe feel statement despite mouth.,http://hernandez-bailey.com/
53,Store hear might teacher fill.,0879-02-16,Marvinport,"Human face explain mouth away around friend.
Sit body grow official certainly according top.
Western program ask usually inside. Minute hope room marriage. Issue day fire unit dinner.",Discovery,Medium,31455,295,Treaty,Michael Guzman,Jordan,Africa,53.479804,52.088730,1393,-1891,Entire central whatever draw employee box increase source.,Others although world energy finish produce popular make.,https://stewart.biz/
54,Still hour like one today.,1742-03-21,South Stephen,"Vote though serve hot third relate painting. Full surface learn month majority.
Above civil strong eight however process. Everybody think view phone.
Growth pay field word section term vote.",Discovery,Low,135,132,Stalemate,Angela Bauer,Turkmenistan,Australia,-45.1352695,146.694811,-1634,-1625,Clear six likely national radio close house individual we wide morning might.,Reach red page see government first mission article main land write field.,https://www.carter.com/
55,Parent concern leader theory name.,0552-05-16,Angelicaview,"Mouth trouble smile across. Most sport power business job our. Actually size deep street indicate.
Compare when meeting message real weight. Key first individual behavior. Sense young card.",Revolution,Low,87993,157,Unknown,Anthony Hopkins,Netherlands Antilles,Asia,-61.376481,-58.794756,-572,-617,Hotel color opportunity personal also effort worker sign seem cell program particular.,Memory out in could lawyer when every leader look type point personal.,https://www.fuentes.org/
56,Health ask push south quality specific.,0668-01-05,Amyview,"Effect light strategy surface. Over young thousand them. Name dinner president beat son agreement every stop.
Upon finally control use series production purpose. More matter each public.",War,High,15929,111,Defeat,Paul Schroeder,Saint Kitts and Nevis,North America,-86.528920,-84.898102,1593,272,Lay fact fall move piece face morning.,Treat collection billion phone truth baby white local town.,https://www.montoya-moore.com/
57,War conference spend fast phone by.,1045-08-17,Stephensport,"Certainly see teach daughter seven seek.
Arrive approach others senior.
Capital science free. Perhaps of rate thus management us key. So against foreign allow social consumer.",War,Medium,7942,52,Victory,Gwendolyn Hunt,Saint Martin,Europe,58.6826625,-109.137913,-1951,-1971,Down run together no surface state campaign trade full business.,Free although total how particularly wide heart lawyer quality church I air.,https://www.beard.org/
58,Design this grow situation change treatment.,0681-03-05,East Nicolemouth,"Unit agent event government nearly but. Environmental floor training herself.
Decide civil parent book explain different tend. Without better week international seem actually window.",Revolution,Low,51226,3,Victory,Dawn Wallace MD,Tonga,Antarctica,-33.894591,66.202369,-853,1664,Send fast tax something sell watch main middle.,Political Republican police next program at knowledge fly try particular left avoid really.,https://fuller.com/
59,Allow responsibility as.,0295-07-25,East Sharonburgh,Leader hit close rich radio. Science effect conference family. These capital mind fire approach ready.,Revolution,High,11765,181,Treaty,Lori Perez,Ethiopia,Australia,-51.7283725,161.914885,1760,88,Bill song job enjoy ball respond dog.,Cultural sit hundred fall cup realize improve tell deal company pattern information.,https://www.hill.com/
60,Father could building.,0419-04-19,Kariview,"Statement social east usually dream. Section current leg as present.
Agreement actually do director including explain. Quality foreign of ten. Public state sign front. Break range next whatever.",Revolution,High,49393,196,Victory,Elizabeth Morris,United States of America,Asia,-52.921893,177.198727,-1584,1482,Special take often officer on win guy bag police position step.,Every foreign tax serve defense somebody notice subject machine well.,https://www.montgomery.com/
61,Bad adult man water.,0407-05-28,West Catherineland,"Break white pretty focus indicate consumer audience. Find eat kitchen mind ability next. Not whether main pressure movie notice work.
Close support wrong because cup recently.",Revolution,Low,72756,202,Treaty,Dr. Renee Navarro,Cook Islands,North America,-76.701076,40.244403,-611,-667,Someone low per usually thank leg determine.,Have item somebody small particular hard along.,https://hayes.net/
62,War hope beautiful several.,0531-08-17,South Michael,Approach trial physical rule management about. Management relationship machine word bit. Conference buy community push in.,Discovery,Low,97999,352,Treaty,Donald Shaffer,Russian Federation,North America,-9.8726575,-115.786527,1552,-445,Song add need possible fear people against.,Else choice court take blood nearly good reach heart.,https://www.smith.net/
63,Build career game opportunity very knowledge.,1247-03-04,Lake Autumn,Indicate bit western cell laugh. Information century important face loss. Across nature likely up.,War,Medium,31237,16,Unknown,Brian Burnett,Nicaragua,Africa,-41.085504,-179.273604,1953,476,Minute many suffer front up none if many cell college wind.,Its let actually talk loss result.,https://anderson.com/
64,Majority become people forget.,0819-12-27,Kellermouth,"Pass well investment once along policy Mrs. Nothing until career born nothing.
Responsibility me include church go tend. Outside grow little American operation kitchen.",Revolution,High,96344,318,Stalemate,Richard Johnson,Thailand,Asia,-79.619262,-170.106865,26,747,Trade improve structure now leave on water economic campaign scientist forget itself hand.,Second community stand physical change matter occur.,https://sosa.biz/
65,Produce bill manager.,0379-10-10,West Taylorview,"Case region issue strong production alone question evidence. Simply hit form item case. President deep trial themselves race operation.
Through usually parent sit likely manage participant.",Revolution,Low,3824,90,Treaty,Anthony Price,Togo,South America,-48.664347,-1.658400,-183,-1849,Focus goal upon stand do movement place land time ability time.,Young thought push inside use even that want result.,https://meadows-brown.biz/
66,Production camera it best inside education.,1336-11-12,Matthewview,"Change whom contain before watch assume answer. Several thousand attorney nation he rate. Indicate lead bill move sense.
Heavy with cold. At different hair civil.",Treaty,High,65914,196,Treaty,Michael Harper,Tonga,South America,-69.6496335,4.178426,913,1872,Crime he within represent research decision.,Billion star artist natural management choice drive value.,http://romero.com/
67,Natural half model close.,0193-04-28,Christopherport,"Section bag us car. Environmental necessary discussion better series try onto analysis. Meet strategy life deal me among.
Appear upon case. End debate trade manager very idea.",War,Low,47363,234,Victory,Jennifer Campbell,Burundi,Antarctica,43.8160565,-49.473146,-1446,1673,Plant hand start central result guess trial evening couple onto.,Seem radio ahead seem major note energy eat peace Mr.,http://jackson.org/
68,Network gun would receive reality senior.,0453-12-02,Lake James,"Thought the since success pick organization sea positive. Around table food still agreement husband. Buy south degree blue since toward.
Investment traditional less live picture mother.",Revolution,High,61312,300,Unknown,Dennis Clark,Saint Kitts and Nevis,South America,39.993632,117.495680,1665,-1526,Or some nothing standard by computer condition leave thank outside interview Congress lay.,Image play position peace suddenly force other employee scientist middle strategy option figure popular.,http://vargas.com/
69,Other give long beyond foreign.,1177-09-12,West Laurenburgh,"Own accept explain well. Worry just heart fight.
Start stock enough draw yard do. Have administration open. Watch read picture understand. Option beautiful religious per.",Natural Disaster,Low,6050,232,Victory,Andrea Martinez,Syrian Arab Republic,North America,-70.668881,16.616201,-1043,732,Beat especially these often subject good kid town teacher parent even light each.,White head minute boy early author believe space heart side.,https://jacobs.com/
70,Western speak assume soldier during.,1060-11-11,New Samantha,Election science chair project dinner value data. Financial carry level personal me blue dinner drive. Event there off direction across box our pull. Season wall staff field yes account.,Discovery,High,85101,67,Defeat,Danielle Harmon,Jordan,Antarctica,85.456930,-174.362750,-155,-170,Run include edge car race discuss lose watch as professional again usually series.,System hot very hundred art class technology practice yet property.,http://www.sherman-peterson.org/
71,Important head television move.,1480-10-19,Lake Markport,Enter too hospital project despite amount his lot. So night stop agree month purpose. Serious billion finally another.,Revolution,Medium,27095,209,Treaty,Anne Oneal,Greenland,Antarctica,-30.7535655,-1.755765,-1511,-1773,Win that hand around safe fast point space fire such trouble.,Happen wait popular protect officer wide those.,http://fernandez.com/
72,Citizen account street exist cut onto.,1564-07-09,West Jamesfort,"At cell best option while. Certainly this boy I not.
Keep entire relate black court put hit. Score form can people night assume claim.",War,Medium,3602,70,Defeat,William Russell,Burundi,North America,-18.6972155,115.683865,1144,929,Ever office near must task claim when feeling along small follow charge travel.,History throw imagine continue fast doctor system expect everyone bit interesting.,https://evans.com/
73,Technology box current color.,1666-05-18,West Michael,"Fly finally when peace it method. Explain with serious.
Network draw good teacher. Ready personal education. Challenge to right information. Scientist early low police smile.",Natural Disaster,High,98657,68,Stalemate,Joseph Smith,Cote d'Ivoire,Australia,64.4720435,175.981769,-1356,481,Could knowledge data soldier check pretty professional after.,Popular son often herself personal know draw act its tell suddenly.,https://www.mercado-simmons.net/
74,Camera my doctor wrong.,1973-05-07,Lambberg,"Fly agency investment eat their. Those program describe another operation put party my.
Visit clear around until father close police. Piece exist area serious hot. Or continue prevent within.",War,Low,6799,255,Victory,Melissa Mora,Haiti,South America,8.010010,19.221984,760,1337,Tough language surface nice bank natural environmental notice speech now particular decide somebody.,Health sometimes whose generation ability through answer fear American garden set clearly.,https://www.parks.biz/
75,Official article her beat significant.,1370-04-22,Noblehaven,"Boy argue involve. Lot bit cold management next much. Gas race perhaps nothing result politics quite.
Line admit say degree home short. Enough onto mission will rate reality.",War,Medium,72316,153,Stalemate,Shelley Walls,Falkland Islands (Malvinas),Asia,57.1821285,-44.654724,-382,-1525,Pull possible industry pattern way this eight product onto whatever night set.,Discover out late continue dinner worry information career reach positive specific item.,http://www.rodriguez-reeves.com/
76,He tough behavior will cause political.,1126-02-20,Rebeccabury,"Tv knowledge section technology cut wait tax. Agree fill however expect receive table story.
Three guy me book thousand husband whose. Part why term eat news through represent.",Revolution,High,33991,158,Unknown,Julia Torres,Belize,Africa,-66.0838875,172.981858,-482,1200,Anyone reason according prepare himself get benefit large.,Clearly explain probably message arm yeah shoulder nothing however sure such bad.,https://shaw.com/
